Dive Site,Type,Country,Notes,,Dive Site,Type,Country,City,,,Dive Site,Type,Country,,,Dive Site,Type,Country,,,Dive Site,Type,Country,,Dive Site,Type,Country,,,Dive Site,Type,Country
Angra dos Reis - Ilha Grande - Naufragio Aquidabã,Wreck,Brazil,,,Carmel River State Beach (North),Beach,USA,,,,Blue Holes,Cavern/Cave,Palau,,,Spooky,Geographic Site,Honduras,,,Baikal - Listvyanka,Lake,Russia,,Weeki Wachee Springs,Other,USA,,,SS Thistlegorm,Wreck,Egypt
Anse Chastanet,Beach,,,,Cates Park,Beach,Canada,,,,Chandelier Cave,Cavern/Cave,Palau,,,Black Hills,Geographic Site,Honduras,,,Baikal - Olkhon,Lake,Russia,,Crystal River - Three Sisters,Other,USA,,,Giannis D,Wreck,Egypt
Anse Chastanet,Beach,St. Lucia,,,Brewers,Beach,,,,,Leru Cut,Cavern/Cave,Solomon Islands,,,Cocos Island - Alcyone,Geographic Site,Costa Rica,,,Blue Lake,Lake,Russia,,Neptune Memorial,Other,USA,,,Carnatic,Wreck,Egypt
Antilla Wreck,Wreck,Aruba,,,Escambrón Marine Park,Beach,Puerto Rico,,,,Twin Tunnels,Cavern/Cave,Solomon Islands,,,Cocos Island - Dirty Rock,Geographic Site,Costa Rica,,,Thingvellir - Davíðsgjá,Lake,Iceland,,Oil Slick Leap,Other,Bonaire,,,Chrisoula K,Wreck,Egypt
Antons,Geographic Site,South Africa,,,Playa Hermosa - Punta Argentina,Beach,Costa Rica,,,,Mariner’s Cave,Cavern/Cave,Tonga,,,Bat Island (Islas Murciélagos),Geographic Site,Costa Rica,,,Dutch Springs,Lake,USA,,Critter Corner,Other,St. Vincent,,,Kimon M,Wreck,Egypt
Apataki Atoll Wall,Geographic Site,French Polynesia,,,Taganga - El Rodadero,Beach,Colombia,,,,Cathedral Cave,Cavern/Cave,New Zealand,,,Catalina,Geographic Site,Costa Rica,,,Juturna Springs,Lake,USA,,Seraya Secrets,Other,Indonesia,,,Rosalie Moller,Wreck,Egypt
Apo Island Marine Reserve,Geographic Site,Philippines,,,Wing Beach,Beach,,,,,Buracona - Blue Eye,Cavern/Cave,Cape Verde,,,Gordon Rocks,Geographic Site,Ecuador,,,Lake Rawlings (Lake Phoenix),Lake,USA,,Amed Pyramids,Other,Indonesia,,,Dunraven,Wreck,Egypt
Apo Reef Natural Park,Geographic Site,Philippines,,,Obyan Beach,Beach,,,,,Piccaninnie Ponds,Cavern/Cave,Australia,,,Darwin’s Arch/Towers,Geographic Site,Ecuador,,,Blue Hole,Lake,USA,,Secret Bay (Gilimanuk),Other,Indonesia,,,Salem Express,Wreck,Egypt
Apolima Gardens,Geographic Site,Samoa,,,Ningaloo Reef - Turquoise,Beach,Australia,,,,Ewens Ponds,Cavern/Cave,Australia,,,Wolf,Geographic Site,Ecuador,,,Saimaa Lake - Underwater Forest,Lake,Finland,,Arborek Jetty,Other,Indonesia,,,Umbria Wreck,Wreck,Sudan
Apra Harbor,Wreck,Tokai Maru,,,Christmas Island - Flying Fish Cove,Beach,Australia,,,,Little Blue Lake (Mount Gambier),Cavern/Cave,Australia,,,Kicker Rock (León Dormido),Geographic Site,Ecuador,,,Lake Baikal - Olkhon,Lake,Russia,,Maluku - Ambon - Twilight Zone,Other,Indonesia,,,Satil (Saar) Wreck,Wreck,Israel
