Dive Site,Type,Country,Notes,,Dive Site,Type,Country,City,,,Dive Site,Type,Country,,,Dive Site,Type,Country,,,Dive Site,Type,Country,,Dive Site,Type,Country,,,Dive Site,Type,Country
Pelican Point,Point,Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toon Town,Reef,Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Runway 10,Reef,Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRI Wall,Wall,Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stewport,Reef,Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sand Castles,Reef,Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grouper Gully,Gully,Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vicky's Reef,Reef,Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shangrila,Reef,Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snapshot,Reef,Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devil's Claw,Reef,Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Forest Double Caves,Cave,Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pole Cave,Cave,Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great Cut,Channel,Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orbit's Canyon,Canyon,Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandy Point Cave,Cave,Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dolittle's Grotto,Grotto,Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Crevasse,Crevasse,Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pemuteran Bay,,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Menjangan Island,,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bio-Wreck,Wreck,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Close Encounters,Reef,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deep Reef,Reef,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fisherman Basket,Reef,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kebun Chris,Reef,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garden of the Gods,Reef,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temple Garden,Reef,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAMAN PURA (Underwater Temple Garden),Artificial Reef,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PURA TEMBOK (Temple Wall),Wall,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peti Slopes,Slope,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anchor Wreck,Wreck,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandy Slopes,Slope,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temple Slopes,Slope,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bat Caves,Cave,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cave Point,Cave,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barefoot Manta Island,Geographical site,Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Sea Island,Geographical site,Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barefoot Kuata,Geographical site,Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sharks Alley,Geographical Site,Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ann’s Paradise,Reef,Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picasso Gallery,Reef,Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theo's Wreck,Wreck,Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gale's Grotto,Cave,Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angels' Camp,Reef,Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papa Doc Wreck,Wreck,Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate Reef,Reef,Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben's Blue Hole,Blue Hole,Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lady of Lucaya,Wreck,Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reef Caribe,Reef,Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa Estrella,Reef,Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angulas Paradise,Reef,Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina Garden,Reef,Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parquera,Geographical Site,Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canal Saona,Channel,Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Faro,Geographical Site,Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Park II,Artificial Reef,Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominicus Reef,Reef,Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Bajon,Seamount,Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marsa Assalaya,Geographical Site,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marsa Egla,Geographical Site,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marsa Gabal El Rossas,Geographical Site,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marsa Tondoba,Geographical Site,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marsa Samadai,Geographical Site,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marsa El Fokery,Geographical Site,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breaking Patches,Reef,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hastings Reef,Reef,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norman Reef,Reef,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saxon Reef,Reef,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jorgensen Patch,Reef,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Three Fathom Wall,Wall,Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarah’s Set,Reef,Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Stop,Reef,Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumber’s Caves,Cave,Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jackson’s Reef,Reef,Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Meadows,Reef,Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike’s Mountain,Pinnacle,Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nancy’s Cup of Tea,Reef,Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jackson Point,Drop-Off,Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point O’ Sand,Reef,Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Owen Island,Reef,Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preston Bay,Reef,Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marilyn’s Cut,Channel,Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paradise Plunge,Drop-Off,Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McCoy’s Wall,Wall,Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lighthouse Wall,Wall,Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patty’s Place,Reef,Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Point,Wall,Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gay’s Reef,Reef,Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Windsock Reef,Reef,Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grundy’s Gardens,Reef,Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soto Trader,Wreck,Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Divers Delight,Reef,Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Splitsville,Channel,Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disneyland,Reef,Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coral City,Reef,Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rock Bottom Wall,Wall,Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snap Shot,Reef,Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Bluff,Wall,Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cascades,Wall,Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blacktip Blvd,Channel,Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul’s Anchors,Reef,Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crystal Palace Wall,Wall,Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Booby Pass,Channel,Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Penguin’s Leap,Drop-Off,Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sailfin Reef,Reef,Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blacktip Tunnels,Cave,Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucas’s Ledges,Ledge,Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rockhouse Wall,Wall,Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donna’s Delight,Reef,Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barracuda Bite,Reef,Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coconut Wall,Wall,Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joy’s Joy,Reef,Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jigsaw Puzzle,Reef,Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fisheye Fantasy,Reef,Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bush Gardens,Reef,Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt Rocks,Reef,Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richard’s Reef,Reef,Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dynamite Drop-Off,Drop-Off,Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlie’s Chimney,Chimney,Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pirate’s Point Reef,Reef,Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Hole,Cave,Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harold’s Hole,Cave,Cayman Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mashraba,Geographical Site,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eel Garden,Geographical Site,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marsa Shagra House Reef,House Reef,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marsa Nakari House Reef,House Reef,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marsa Assalai,Reef,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Canyon,Canyon,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Om Halhala,Reef,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shaab Nakari,Reef,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ras Samadai,Reef,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Habili Nakari,Seamount,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ras Tondoba,Reef,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Habili Dori,Seamount,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Habili El Ghadeer,Seamount,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shaab Sharm,Reef,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nakari's Om Halhala,Reef,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Dory,Reef,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outer Range Excursion,Geographical Site,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Garden,Reef,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erg El Ghadeer,Reef,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ras Bonny,Reef,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Habili Gazella,Seamount,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Torfa House Reef,House Reef,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Habili Daisy,Seamount,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shabrour South,Reef,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lahami North,Reef,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lahami South,Reef,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Habili Bells,Seamount,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abu Galawa,Reef,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Habili Dominique,Seamount,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shaab Iny,Reef,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shaab Mini,Reef,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bloemen,Reef,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shaab Claudia,Reef,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iron Garden,Reef,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maksour,Reef,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Satayah Dolphin Reef,Reef,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shaab Angel,Reef,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marsa Bareika,Geographical Site,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ras Ghazlani,Geographical Site,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ras Nasrani,Geographical Site,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Cayman,Geographical Site,Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
“Hammerhead” Shark Point,Geographical Site,Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rasdhoo Channel,Geographical Site,Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Channel,Geographical Site,Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rasdhoo,Geographical Site,Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fan Reef,Geographical Site,Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boduga,Geographical Site,Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kakatua Reef,Reef,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urai,Reef,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arborek,Reef,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mayunep,Reef,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lalosi,Reef,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Mansuar,Reef,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kabui,Channel,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Batu Lima,Reef,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrea's Point,Reef,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco,Reef,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friwen Garden,Reef,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friwen Wall,Wall,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friwen Laut,Reef,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mioskun,Reef,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lao Lao,Reef,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike's Point,Reef,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ot Di Ma,Reef,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sardines Reef,Reef,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicken Reef,Reef,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cross Over,Channel,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ransiwor,Reef,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koh,Reef,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elbow Reef,Reef,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike's Wreck,Wreck,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Train Wreck,Wreck,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Fingers,Reef,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Undersea Highway,Reef,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Lodges,Ledge,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Key Largo Northern Dry Rocks,Reef,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Horseshoe,Reef,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Double North,Reef,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnow Caves,Cave,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dry Rocks,Reef,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christ of the Abyss & Grecian Rocks,Reef,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grecian Shallows,Shallows,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banana Patch,Reef,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spiegel Grove,Wreck,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Reef,Reef,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turtle Ledges,Ledge,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Twist,Reef,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woody's,Reef,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christmas Tree Cave,Cave,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hardbottom Cave,Cave,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sand Bottom Cave,Cave,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Amphitheater,Reef,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Deep,Reef,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Out of Bounds,Reef,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Molasses Reef,Reef,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winch Hole,Cave,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Molasses Deep North,Reef,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Molasses Deep South,Reef,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Coral Cave,Cave,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Permit Ledges,Ledge,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USCG Bibb,Wreck,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USCG Duane,Wreck,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pickles Reef,Reef,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pickle Barrel Wreck,Wreck,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pickles Main,Reef,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pickles South,Reef,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conch Reef and Wall,Wall,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conch Pillars,Reef,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conch Horseshoe,Reef,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PT's Ledge,Ledge,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sand Island,Reef,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heaven's Door,Reef,Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fisherman's Rock,Reef,Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fantasy Dome,Reef,Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neptune's Rhapsody,Reef,Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golden Crown,Reef,Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mani's Reef,Reef,Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golden Dreams,Reef,Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breath Taker,Reef,Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dream Maker,Reef,Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bula Maker,Reef,Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arches,Reef,Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wedding Chapel,Reef,Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cannibal Caves,Cave,Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ovalau,Wreck,Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bat Reef,Reef,Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Las World,Reef,Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,Reef,Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,Reef,Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wheatfields,Reef,Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heartbreak Ridge,Reef,Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vatu Express,Reef,Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pandora's Box,Reef,Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Magic Mountain,Pinnacle,Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instant Replay,Reef,Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pure Magic,Reef,Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mellow Yellow,Reef,Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mary's Maytag,Reef,Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-6,Reef,Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple Haze,Reef,Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nasi Yalodina,Wreck,Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mount Mutiny,Reef,Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cathedrals,Reef,Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-6,Reef,Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lata's Home,Reef,Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragon's Tale,Reef,Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disney Land,Reef,Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papuan Explorer,Reef,Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANZAC,Reef,Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lost World,Reef,Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Why Not,Reef,Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Banana Tree,Wreck,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L'Astree,Wreck,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saumur,Wreck,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Saint Lucian,Wreck,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cape Creus,Geographical Site,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Key Largo,Geographical Site,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tres Trapi,Geographical Site,Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tugboat,Wreck,Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airplanes,Wreck,Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kappel,Wreck,Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bali Barge,Wreck,Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topaz,Wreck,Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morningstar,Wreck,Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mi Dushi,Wreck,Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Singer Island Mitigation Reefs,Reef,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
